,trade_date,label_ko,class3,fs_date,amount,rcp_no,report_nm,rcept_dt,available_at,stock_code,corp_code,corp_name,comment,class4
110,2023-11-14,당기순이익(손실),,20230101-20230930,169346879514.0,20231114002666,분기보고서 (2023.09),20231114,2023-11-14,035720,258801,카카오,,
111,2023-11-14,총포괄손익,,20230101-20230930,30970299361.0,20231114002666,분기보고서 (2023.09),20231114,2023-11-14,035720,258801,카카오,,
112,2023-11-14,당기순이익(손실),,20220701-20220930,137161081437.0,20231114002666,분기보고서 (2023.09),20231114,2023-11-14,035720,258801,카카오,,
113,2023-11-14,총포괄손익,,20220701-20220930,246066593204.0,20231114002666,분기보고서 (2023.09),20231114,2023-11-14,035720,258801,카카오,,
114,2023-11-14,당기순이익(손실),,20220101-20220930,1560497474410.0,20231114002666,분기보고서 (2023.09),20231114,2023-11-14,035720,258801,카카오,,
115,2023-11-14,총포괄손익,,20220101-20220930,1426791517338.0,20231114002666,분기보고서 (2023.09),20231114,2023-11-14,035720,258801,카카오,,
116,2023-06-29,당기순이익(손실),,20230101-20230331,63827793863.0,20230629000567,[기재정정]분기보고서 (2023.03),20230629,2023-06-29,035720,258801,카카오,,
117,2023-06-29,총포괄손익,,20230101-20230331,143065663625.0,20230629000567,[기재정정]분기보고서 (2023.03),20230629,2023-06-29,035720,258801,카카오,,
118,2023-06-29,당기순이익(손실),,20220101-20220331,1322133625257.0,20230629000567,[기재정정]분기보고서 (2023.03),20230629,2023-06-29,035720,258801,카카오,,
119,2023-06-29,총포괄손익,,20220101-20220331,1165759468730.0,20230629000567,[기재정정]분기보고서 (2023.03),20230629,2023-06-29,035720,258801,카카오,,
120,2023-05-15,당기순이익(손실),,20230101-20230331,63827793863.0,20230515002409,분기보고서 (2023.03),20230515,2023-05-15,035720,258801,카카오,,
121,2023-05-15,총포괄손익,,20230101-20230331,143065663625.0,20230515002409,분기보고서 (2023.03),20230515,2023-05-15,035720,258801,카카오,,
122,2023-05-15,당기순이익(손실),,20220101-20220331,1322133625257.0,20230515002409,분기보고서 (2023.03),20230515,2023-05-15,035720,258801,카카오,,
123,2023-05-15,총포괄손익,,20220101-20220331,1165759468730.0,20230515002409,분기보고서 (2023.03),20230515,2023-05-15,035720,258801,카카오,,
124,2023-05-15,당기순이익(손실),,20220701-20220930,137161081437.0,20221114002641,분기보고서 (2022.09),20221114,2022-11-14,035720,258801,카카오,,
125,2023-05-15,총포괄손익,,20220701-20220930,246066593204.0,20221114002641,분기보고서 (2022.09),20221114,2022-11-14,035720,258801,카카오,,
126,2023-05-15,당기순이익(손실),,20220101-20220930,1560497474410.0,20221114002641,분기보고서 (2022.09),20221114,2022-11-14,035720,258801,카카오,,
127,2023-05-15,총포괄손익,,20220101-20220930,1426791517338.0,20221114002641,분기보고서 (2022.09),20221114,2022-11-14,035720,258801,카카오,,
128,2023-05-15,당기순이익(손실),,20210701-20210930,866279098919.0,20221114002641,분기보고서 (2022.09),20221114,2022-11-14,035720,258801,카카오,,
129,2023-05-15,총포괄손익,,20210701-20210930,1022568777182.0,20221114002641,분기보고서 (2022.09),20221114,2022-11-14,035720,258801,카카오,,
130,2023-05-15,당기순이익(손실),,20210101-20210930,1422077003968.0,20221114002641,분기보고서 (2022.09),20221114,2022-11-14,035720,258801,카카오,,
131,2023-05-15,총포괄손익,,20210101-20210930,1928699587070.0,20221114002641,분기보고서 (2022.09),20221114,2022-11-14,035720,258801,카카오,,
132,2023-05-15,당기순이익(손실),,20220101-20220331,1322133625257.0,20220516002455,분기보고서 (2022.03),20220516,2022-05-16,035720,258801,카카오,,
133,2023-05-15,총포괄손익,,20220101-20220331,1165759468730.0,20220516002455,분기보고서 (2022.03),20220516,2022-05-16,035720,258801,카카오,,
134,2023-05-15,당기순이익(손실),,20210101-20210331,239873772887.0,20220516002455,분기보고서 (2022.03),20220516,2022-05-16,035720,258801,카카오,,
