,trade_date,Unnamed: 0,concept_id,label_ko,label_en,class0,class1,class2,class3,fs_date,amount,rcp_no,report_nm,rcept_dt,available_at,stock_code,corp_code,corp_name
76,2023-02-13,18584.0,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,20220930,151942562911.0,20230213000856.0,반기보고서 (2022.12),20230213.0,2023-02-13,396690.0,1576102.0,미래에셋글로벌리츠
77,2023-02-14,2512.0,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,20221231,24160652023.0,20230214001047.0,반기보고서 (2022.12),20230214.0,2023-02-14,33250.0,125576.0,체시스
78,2023-02-14,2513.0,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,20221231,54925058914.0,20230214001047.0,반기보고서 (2022.12),20230214.0,2023-02-14,33250.0,125576.0,체시스
79,2023-02-14,2514.0,ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,20221231,79085710937.0,20230214001047.0,반기보고서 (2022.12),20230214.0,2023-02-14,33250.0,125576.0,체시스
80,2023-02-14,2515.0,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,20221231,44808994675.0,20230214001047.0,반기보고서 (2022.12),20230214.0,2023-02-14,33250.0,125576.0,체시스
81,2023-02-14,2516.0,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,20221231,10071293800.0,20230214001047.0,반기보고서 (2022.12),20230214.0,2023-02-14,33250.0,125576.0,체시스
82,2023-02-14,2517.0,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,20221231,54880288475.0,20230214001047.0,반기보고서 (2022.12),20230214.0,2023-02-14,33250.0,125576.0,체시스
83,2023-02-14,2518.0,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,20221231,24205422462.0,20230214001047.0,반기보고서 (2022.12),20230214.0,2023-02-14,33250.0,125576.0,체시스
84,2023-02-14,2519.0,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,20220630,20807672213.0,20230214001047.0,반기보고서 (2022.12),20230214.0,2023-02-14,33250.0,125576.0,체시스
85,2023-02-14,2520.0,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,20220630,55107516388.0,20230214001047.0,반기보고서 (2022.12),20230214.0,2023-02-14,33250.0,125576.0,체시스
86,2023-02-14,2521.0,ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,20220630,75915188601.0,20230214001047.0,반기보고서 (2022.12),20230214.0,2023-02-14,33250.0,125576.0,체시스
87,2023-02-14,2522.0,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,20220630,35400933976.0,20230214001047.0,반기보고서 (2022.12),20230214.0,2023-02-14,33250.0,125576.0,체시스
