,label_ko,class3,fs_date,amount,rcp_no,report_nm,rcept_dt,available_at,stock_code,corp_code,corp_name,comment,class4
287,총포괄손익,,20220701-20220930,-175494891964.0,20231114002364,분기보고서 (2023.09),20231114,2023-11-14,028260,149655,삼성물산,,
288,당기순이익(손실),,20220101-20220930,1878797292107.0,20231114002364,분기보고서 (2023.09),20231114,2023-11-14,028260,149655,삼성물산,,
289,총포괄손익,,20220101-20220930,-3763501802897.0,20231114002364,분기보고서 (2023.09),20231114,2023-11-14,028260,149655,삼성물산,,
298,당기순이익(손실),,20230101-20230331,751910769097.0,20230515002292,분기보고서 (2023.03),20230515,2023-05-15,028260,149655,삼성물산,,
299,총포괄손익,,20230101-20230331,2601019045679.0,20230515002292,분기보고서 (2023.03),20230515,2023-05-15,028260,149655,삼성물산,,
300,당기순이익(손실),,20220101-20220331,649187764372.0,20230515002292,분기보고서 (2023.03),20230515,2023-05-15,028260,149655,삼성물산,,
301,총포괄손익,,20220101-20220331,-1300152891456.0,20230515002292,분기보고서 (2023.03),20230515,2023-05-15,028260,149655,삼성물산,,
308,당기순이익(손실),,20220701-20220930,596838333540.0,20221114001747,분기보고서 (2022.09),20221114,2022-11-14,028260,149655,삼성물산,,
309,총포괄손익,,20220701-20220930,-175494891964.0,20221114001747,분기보고서 (2022.09),20221114,2022-11-14,028260,149655,삼성물산,,
310,당기순이익(손실),,20220101-20220930,1878797292107.0,20221114001747,분기보고서 (2022.09),20221114,2022-11-14,028260,149655,삼성물산,,
311,총포괄손익,,20220101-20220930,-3763501802897.0,20221114001747,분기보고서 (2022.09),20221114,2022-11-14,028260,149655,삼성물산,,
312,당기순이익(손실),,20210701-20210930,375105366698.0,20221114001747,분기보고서 (2022.09),20221114,2022-11-14,028260,149655,삼성물산,,
313,총포괄손익,,20210701-20210930,-1407391436366.0,20221114001747,분기보고서 (2022.09),20221114,2022-11-14,028260,149655,삼성물산,,
314,당기순이익(손실),,20210101-20210930,1595667916211.0,20221114001747,분기보고서 (2022.09),20221114,2022-11-14,028260,149655,삼성물산,,
315,총포괄손익,,20210101-20210930,14301275973.0,20221114001747,분기보고서 (2022.09),20221114,2022-11-14,028260,149655,삼성물산,,
324,당기순이익(손실),,20220101-20220331,649187764372.0,20220516002225,분기보고서 (2022.03),20220516,2022-05-16,028260,149655,삼성물산,,
325,총포괄손익,,20220101-20220331,-1300152891456.0,20220516002225,분기보고서 (2022.03),20220516,2022-05-16,028260,149655,삼성물산,,
326,당기순이익(손실),,20210101-20210331,886713172202.0,20220516002225,분기보고서 (2022.03),20220516,2022-05-16,028260,149655,삼성물산,,
327,총포괄손익,,20210101-20210331,1138182589020.0,20220516002225,분기보고서 (2022.03),20220516,2022-05-16,028260,149655,삼성물산,,
328,당기순이익(손실),,20230701-20230930,485262000000.0,20231114001391,분기보고서 (2023.09),20231114,2023-11-14,066570,401731,LG전자,,
329,총포괄손익,,20230701-20230930,683194000000.0,20231114001391,분기보고서 (2023.09),20231114,2023-11-14,066570,401731,LG전자,,
330,당기순이익(손실),,20230101-20230930,1227045000000.0,20231114001391,분기보고서 (2023.09),20231114,2023-11-14,066570,401731,LG전자,,
331,총포괄손익,,20230101-20230930,1966949000000.0,20231114001391,분기보고서 (2023.09),20231114,2023-11-14,066570,401731,LG전자,,
332,당기순이익(손실),,20220701-20220930,336431000000.0,20231114001391,분기보고서 (2023.09),20231114,2023-11-14,066570,401731,LG전자,,
333,총포괄손익,,20220701-20220930,1647688000000.0,20231114001391,분기보고서 (2023.09),20231114,2023-11-14,066570,401731,LG전자,,
334,당기순이익(손실),,20220101-20220930,2075464000000.0,20231114001391,분기보고서 (2023.09),20231114,2023-11-14,066570,401731,LG전자,,
335,총포괄손익,,20220101-20220930,5026639000000.0,20231114001391,분기보고서 (2023.09),20231114,2023-11-14,066570,401731,LG전자,,
344,당기순이익(손실),,20230101-20230331,546529000000.0,20230515001288,분기보고서 (2023.03),20230515,2023-05-15,066570,401731,LG전자,,
345,총포괄손익,,20230101-20230331,1061915000000.0,20230515001288,분기보고서 (2023.03),20230515,2023-05-15,066570,401731,LG전자,,
346,당기순이익(손실),,20220101-20220331,1401001000000.0,20230515001288,분기보고서 (2023.03),20230515,2023-05-15,066570,401731,LG전자,,
347,총포괄손익,,20220101-20220331,1978394000000.0,20230515001288,분기보고서 (2023.03),20230515,2023-05-15,066570,401731,LG전자,,
354,당기순이익(손실),,20220701-20220930,336431000000.0,20221114001014,분기보고서 (2022.09),20221114,2022-11-14,066570,401731,LG전자,,
