,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20221231,20211231,20201231,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20230630,20220630,20210630,20191231,20200630,20190630,20180630,20170630,20160630,20230331,20220331,20210331,20220930,20181231,20171231,20161231,20151231,20141231,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)",20131231,20121231,20111231
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)",class4,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)",concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
8307,dart_OtherCurrentLiabilities,기타유동부채,Other current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타유동부채,1705879786.0,1026960891.0,703744073.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8308,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,29172586137.0,38197993247.0,49419833950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8309,dart_LongTermTradeAndOtherNonCurrentPayables,장기매입채무 및 기타채무,Long-term trade and other non-current payables,재무상태표 [abstract],부채 [abstract],비유동부채,장기매입채무 및 기타채무,620026786.0,800330278.0,799108505.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8310,dart_LongTermBorrowingsGross,장기차입금,"Long-term borrowings, gross",재무상태표 [abstract],부채 [abstract],비유동부채,장기차입금,25753240000.0,34504900000.0,44352000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8311,ifrs-full_OtherNoncurrentFinancialLiabilities,기타비유동금융부채,Other non-current financial liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,기타비유동금융부채,1217342895.0,197178466.0,1265667254.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8312,dart_PostemploymentBenefitObligations,순확정급여부채,Post-employment benefit obligations,재무상태표 [abstract],부채 [abstract],비유동부채,순확정급여부채,19969202.0,1676689463.0,2415503138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8313,ifrs-full_DeferredTaxLiabilities,이연법인세부채,Deferred tax liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,이연법인세부채,1562007254.0,1018895040.0,587555053.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8314,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,340157547667.0,310772329491.0,237585636284.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8315,ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유주지분,Equity attributable to owners of parent,재무상태표 [abstract],자본 [abstract],지배기업의 소유주지분,,338740861901.0,328711968580.0,304589010918.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8316,ifrs-full_IssuedCapital,자본금,Issued capital,재무상태표 [abstract],자본 [abstract],지배기업의 소유주지분,자본금,42850000000.0,42850000000.0,42850000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8317,dart_CapitalSurplus,자본잉여금,Capital surplus,재무상태표 [abstract],자본 [abstract],지배기업의 소유주지분,자본잉여금,39410869069.0,39410869069.0,39410869069.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8318,dart_ElementsOfOtherStockholdersEquity,자본조정,Elements of other stockholder's equity,재무상태표 [abstract],자본 [abstract],지배기업의 소유주지분,자본조정,-6208729620.0,-6208729620.0,-5891203691.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8319,dart_OtherCapitalSurplus,기타자본잉여금,Other capital surplus,재무상태표 [abstract],자본 [abstract],지배기업의 소유주지분,기타자본잉여금,1164502123.0,1164502123.0,1164502123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8320,dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,Other Comprehensive income/loss accumulated amount,재무상태표 [abstract],자본 [abstract],지배기업의 소유주지분,기타포괄손익누계액,2503908935.0,2977094035.0,-172340835.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8321,ifrs-full_RetainedEarnings,이익잉여금,Retained earnings,재무상태표 [abstract],자본 [abstract],지배기업의 소유주지분,이익잉여금,259020311394.0,248518232973.0,227227184252.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8322,ifrs-full_NoncontrollingInterests,비지배지분,Non-controlling interests,재무상태표 [abstract],자본 [abstract],비지배지분,,11293705915.0,11662012179.0,10201928023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8323,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,350034567816.0,340373980759.0,314790938941.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8324,ifrs-full_EquityAndLiabilities,자본및부채총계,Total equity and liabilities,재무상태표 [abstract],자본및부채총계,,,690192115483.0,651146310250.0,552376575225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8325,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,73648119649.0,75246296015.0,60784292567.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8326,ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,8430807283.0,3289919507.0,8229939954.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8327,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,Short-term deposits not classified as cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,단기금융상품,17473762810.0,17219080385.0,17036283058.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8328,ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,공정가치측정금융자산(당기손익),"Current financial assets at fair value through profit or loss, designated upon initial recognition or subsequently",재무상태표 [abstract],자산 [abstract],유동자산,공정가치측정금융자산(당기손익),11654685881.0,14315304954.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8329,ifrs-full_TradeAndOtherCurrentReceivables,매출채권 및 기타채권,Trade and other current receivables,재무상태표 [abstract],자산 [abstract],유동자산,매출채권 및 기타채권,22333283116.0,24798010515.0,18741600155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8330,ifrs-full_Inventories,재고자산,Inventories,재무상태표 [abstract],자산 [abstract],유동자산,재고자산,12729440230.0,14830220214.0,16265836402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8331,dart_CurrentFinanceLeaseReceivables,단기금융리스채권,Current finance lease receivables,재무상태표 [abstract],자산 [abstract],유동자산,단기금융리스채권,0.0,0.0,32965864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8332,dart_OtherCurrentAssets,기타유동자산,Other current assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동자산,1026140329.0,793760440.0,477667134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8333,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,51524239142.0,50045495873.0,44255594564.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8334,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,Long-term deposits not classified as cash equivalents,재무상태표 [abstract],자산 [abstract],비유동자산,장기금융상품,5000000.0,570908500.0,506796274.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8335,ifrs-full_NoncurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,공정가치측정금융자산(기타포괄손익),Non-current financial assets measured at fair value through other comprehensive income,재무상태표 [abstract],자산 [abstract],비유동자산,공정가치측정금융자산(기타포괄손익),91903320.0,554108045.0,552663725.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8336,ifrs-full_NoncurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,공정가치측정금융자산(당기손익),"Non-current financial assets at fair value through profit or loss, designated upon initial recognition or subsequently",재무상태표 [abstract],자산 [abstract],비유동자산,공정가치측정금융자산(당기손익),16880378638.0,17002920535.0,9757617097.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8337,ifrs-full_OtherNoncurrentFinancialAssets,기타비유동금융자산,Other non-current financial assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동금융자산,968653435.0,1301264859.0,1507350534.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8338,ifrs-full_InvestmentsInAssociates,관계기업에 대한 투자자산,Investments in associates,재무상태표 [abstract],자산 [abstract],비유동자산,관계기업에 대한 투자자산,781615587.0,350095288.0,229836733.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8339,ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,25566252632.0,26469352450.0,27133754816.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8340,ifrs-full_InvestmentProperty,투자부동산,Investment property,재무상태표 [abstract],자산 [abstract],비유동자산,투자부동산,533367592.0,541722395.0,550077198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8341,ifrs-full_IntangibleAssetsOtherThanGoodwill,영업권 이외의 무형자산,Intangible assets other than goodwill,재무상태표 [abstract],자산 [abstract],비유동자산,영업권 이외의 무형자산,35756867.0,158766168.0,304362884.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8342,ifrs-full_DeferredTaxAssets,이연법인세자산,Deferred tax assets,재무상태표 [abstract],자산 [abstract],비유동자산,이연법인세자산,2222847669.0,2541704885.0,3200421672.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8343,dart_OtherNonCurrentAssets,기타비유동자산,Other non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동자산,4438463402.0,554652748.0,512713631.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8344,ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,125172358791.0,125291791888.0,105039887131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8345,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,27500582016.0,36926559742.0,34380581277.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8346,ifrs-full_TradeAndOtherCurrentPayables,매입채무 및 기타유동채무,Trade and other current payables,재무상태표 [abstract],부채 [abstract],유동부채,매입채무 및 기타유동채무,11010614009.0,10672657489.0,7164644569.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8347,ifrs-full_ShorttermBorrowings,단기차입금,Short-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,단기차입금,13546373286.0,19781596660.0,22822828006.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8348,ifrs-full_CurrentPortionOfLongtermBorrowings,유동성장기차입금,Current portion of long-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,유동성장기차입금,1025630000.0,999920000.0,1896729166.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8349,ifrs-full_CurrentTaxLiabilities,당기법인세부채,Current tax liabilities,재무상태표 [abstract],부채 [abstract],유동부채,당기법인세부채,0.0,3721773149.0,955918105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8350,ifrs-full_CurrentLeaseLiabilities,유동리스부채,Current lease liabilities,재무상태표 [abstract],부채 [abstract],유동부채,유동리스부채,637936980.0,520286326.0,144392865.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8351,dart_OtherCurrentLiabilities,기타유동부채,Other current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타유동부채,1280027741.0,1230326118.0,1396068566.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8352,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,14262185226.0,3373266408.0,4423083073.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8353,ifrs-full_NoncurrentProvisionsForEmployeeBenefits,장기기타부채,Non-current provisions for employee benefits,재무상태표 [abstract],부채 [abstract],비유동부채,장기기타부채,420130248.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8354,dart_LongTermBorrowingsGross,장기차입금,"Long-term borrowings, gross",재무상태표 [abstract],부채 [abstract],비유동부채,장기차입금,13220295000.0,2653990000.0,3463700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8355,ifrs-full_OtherNoncurrentFinancialLiabilities,기타비유동금융부채,Other non-current financial liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,기타비유동금융부채,0.0,155000000.0,155000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8356,dart_PostemploymentBenefitObligations,퇴직급여부채,Post-employment benefit obligations,재무상태표 [abstract],부채 [abstract],비유동부채,퇴직급여부채,42272859.0,467062097.0,784815717.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8357,ifrs-full_NoncurrentLeaseLiabilities,비유동리스부채,Non-current lease liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,비유동리스부채,579487119.0,97214311.0,19567356.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8358,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,41762767242.0,40299826150.0,38803664350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8359,ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,Equity attributable to owners of parent,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,,83409591549.0,84991965738.0,66236222781.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8360,ifrs-full_IssuedCapital,자본금,Issued capital,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,자본금,8536000000.0,8536000000.0,8536000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8361,entity00114093_udf_BS_201711694211581_EquityAttributableToOwnersOfParent,기타불입자본,Other Paid-in Capital,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,기타불입자본,18476977551.0,21400906021.0,8199242227.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8362,ifrs-full_RetainedEarnings,이익잉여금(결손금),Retained earnings,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,이익잉여금(결손금),56642569527.0,55189603856.0,49857414340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8363,dart_ElementsOfOtherStockholdersEquity,기타자본구성요소,Elements of other stockholder's equity,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,기타자본구성요소,-245955529.0,-134544139.0,-356433786.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8364,ifrs-full_NoncontrollingInterests,비지배지분,Non-controlling interests,재무상태표 [abstract],자본 [abstract],비지배지분,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8365,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,83409591549.0,84991965738.0,66236222781.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8366,ifrs-full_EquityAndLiabilities,자본과부채총계,Total equity and liabilities,재무상태표 [abstract],자본과부채총계,,,125172358791.0,125291791888.0,105039887131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8367,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,74781467488.0,76710526474.0,72523350170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8368,ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,1903467085.0,3991990209.0,15997145621.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8369,ifrs-full_TradeAndOtherCurrentReceivables,매출채권 및 기타채권,Trade and other current receivables,재무상태표 [abstract],자산 [abstract],유동자산,매출채권 및 기타채권,34304444492.0,31132641787.0,30195038591.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8370,entity00128032_udf_BS_202339193434809_CurrentAssets,파생상품평가자산,Derivative valuation asset,재무상태표 [abstract],자산 [abstract],유동자산,파생상품평가자산,1718768539.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8371,ifrs-full_Inventories,재고자산,Inventories,재무상태표 [abstract],자산 [abstract],유동자산,재고자산,24741983507.0,24176998415.0,24083823765.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8372,ifrs-full_CurrentTaxAssets,당기법인세자산,Current tax assets,재무상태표 [abstract],자산 [abstract],유동자산,당기법인세자산,0.0,241445427.0,59920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8373,ifrs-full_OtherCurrentFinancialAssets,기타유동금융자산,Other current financial assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동금융자산,0.0,11268646040.0,1200000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8374,dart_OtherCurrentAssets,기타유동자산,Other current assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동자산,12112803865.0,5898804596.0,1047282273.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8375,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,281919029151.0,149694456578.0,119137576811.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8376,ifrs-full_OtherNoncurrentFinancialAssets,기타비유동금융자산,Other non-current financial assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동금융자산,781650000.0,838644000.0,1066392000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8377,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기매출채권및기타채권,"Long-term trade and other non-current receivables, gross",재무상태표 [abstract],자산 [abstract],비유동자산,장기매출채권및기타채권,881593269.0,609495311.0,999284463.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8378,ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,226756748526.0,97727448493.0,64182070213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8379,ifrs-full_RightofuseAssets,사용권자산,Right-of-use assets,재무상태표 [abstract],자산 [abstract],비유동자산,사용권자산,7188987933.0,5666148374.0,625753997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8380,ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,Intangible assets other than goodwill,재무상태표 [abstract],자산 [abstract],비유동자산,무형자산,3136476738.0,1295170886.0,1726024035.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8381,ifrs-full_InvestmentProperty,투자부동산,Investment property,재무상태표 [abstract],자산 [abstract],비유동자산,투자부동산,36605720359.0,37026923966.0,37448127573.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8382,entity00128032_udf_BS_202339193713476_NoncurrentAssets,관계기업투자주식,Investment shares of affiliated companies,재무상태표 [abstract],자산 [abstract],비유동자산,관계기업투자주식,768066.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8383,entity00128032_udf_BS_202339193811539_NoncurrentAssets,장기파생상품평가자산,Long-term Derivative valuation asset,재무상태표 [abstract],자산 [abstract],비유동자산,장기파생상품평가자산,319563700.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8384,ifrs-full_DeferredTaxAssets,이연법인세자산,Deferred tax assets,재무상태표 [abstract],자산 [abstract],비유동자산,이연법인세자산,0.0,0.0,1927094814.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8385,dart_OtherNonCurrentAssets,기타비유동자산,Other non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동자산,6247520560.0,6530625548.0,11162829716.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8386,ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,356700496639.0,226404983052.0,191660926981.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8387,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,132592028750.0,121674244828.0,98683673926.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8388,ifrs-full_TradeAndOtherCurrentPayables,매입채무및기타채무,Trade and other current payables,재무상태표 [abstract],부채 [abstract],유동부채,매입채무및기타채무,38751178955.0,23739623490.0,18286245061.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8389,ifrs-full_ShorttermBorrowings,단기차입금,Short-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,단기차입금,85501530409.0,92292790248.0,73772519174.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8390,entity00128032_udf_BS_201873011542109_CurrentLiabilities,환불부채,Refund Provision,재무상태표 [abstract],부채 [abstract],유동부채,환불부채,2926501536.0,3025183474.0,2594519616.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8391,ifrs-full_CurrentTaxLiabilities,당기법인세부채,Current tax liabilities,재무상태표 [abstract],부채 [abstract],유동부채,당기법인세부채,1948750935.0,0.0,1685576202.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8392,ifrs-full_CurrentLeaseLiabilities,유동리스부채,Current lease liabilities,재무상태표 [abstract],부채 [abstract],유동부채,유동리스부채,452586549.0,308273141.0,473589721.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8393,dart_OtherCurrentLiabilities,기타유동부채,Other current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타유동부채,3011480366.0,2308374475.0,1871224152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8394,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,98288872351.0,38984245713.0,29426044305.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8395,dart_LongTermTradeAndOtherNonCurrentPayables,장기매입채무및기타채무,Long-term trade and other non-current payables,재무상태표 [abstract],부채 [abstract],비유동부채,장기매입채무및기타채무,4299176983.0,4201813455.0,4138615236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8396,dart_LongTermBorrowingsGross,장기차입금,"Long-term borrowings, gross",재무상태표 [abstract],부채 [abstract],비유동부채,장기차입금,71917502943.0,31910508594.0,20000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8397,dart_PostemploymentBenefitObligations,순확정급여부채,Post-employment benefit obligations,재무상태표 [abstract],부채 [abstract],비유동부채,순확정급여부채,6626224442.0,1645931623.0,4595433344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8398,ifrs-full_DeferredTaxLiabilities,이연법인세부채,Deferred tax liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,이연법인세부채,13172123169.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8399,ifrs-full_NoncurrentLeaseLiabilities,비유동리스부채,Non-current lease liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,비유동리스부채,1386831259.0,1003339283.0,306552623.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8400,dart_OtherNonCurrentLiabilities,기타비유동부채,Other non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,기타비유동부채,887013555.0,222652758.0,385443102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8401,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,230880901101.0,160658490541.0,128109718231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8402,ifrs-full_EquityAttributableToOwnersOfParent,지배기업소유주지분,Equity attributable to owners of parent,재무상태표 [abstract],자본 [abstract],지배기업소유주지분,,125819595538.0,65746492511.0,63551208750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8403,ifrs-full_IssuedCapital,자본금,Issued capital,재무상태표 [abstract],자본 [abstract],지배기업소유주지분,자본금,6857225000.0,6768641500.0,6694896000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8404,dart_CapitalSurplus,자본잉여금,Capital surplus,재무상태표 [abstract],자본 [abstract],지배기업소유주지분,자본잉여금,40484694341.0,35252075191.0,26755335382.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8405,dart_ElementsOfOtherStockholdersEquity,자본조정,Elements of other stockholder's equity,재무상태표 [abstract],자본 [abstract],지배기업소유주지분,자본조정,-4142199394.0,-5430724461.0,-3764716395.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8406,dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,Other Comprehensive income/loss accumulated amount,재무상태표 [abstract],자본 [abstract],지배기업소유주지분,기타포괄손익누계액,56015080765.0,1415891587.0,-1167891345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8407,ifrs-full_RetainedEarnings,이익잉여금,Retained earnings,재무상태표 [abstract],자본 [abstract],지배기업소유주지분,이익잉여금,26604794826.0,27740608694.0,35033585108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8408,ifrs-full_NoncontrollingInterests,비지배지분,Non-controlling interests,재무상태표 [abstract],자본 [abstract],비지배지분,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8409,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,125819595538.0,65746492511.0,63551208750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8410,ifrs-full_EquityAndLiabilities,부채및자본총계,Total equity and liabilities,재무상태표 [abstract],부채및자본총계,,,356700496639.0,226404983052.0,191660926981.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8411,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,86861007970.0,97173356510.0,77390762374.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8412,ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,11184045300.0,11145329862.0,10035529946.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
