,종가,시가총액,거래량,거래대금,상장주식수,티커,trade_date
664,3715,105352262155,29669,110173380,28358617,350520,20240115
663,12270,105644700000,40443,496026930,8610000,308170,20240115
662,6590,105888120000,82859,549142930,16068000,123690,20240115
661,2730,106194537540,4868105,13765775305,38899098,009410,20240115
660,3080,107190160000,184707,572547960,34802000,058860,20240115
659,2880,107253195840,414964,1209586715,37240693,004540,20240115
658,10570,107285500000,6377,67192850,10150000,002460,20240115
657,2935,107336633425,230712,674280120,36571255,012690,20240115
656,2150,107610191800,164498,356510750,50051252,013520,20240115
655,86200,107614321200,3304,285497400,1248426,096775,20240115
654,23750,107635000000,19663,471472900,4532000,003350,20240115
653,5090,107703544880,188070,956465700,21159832,002720,20240115
652,1781,107910074038,26322,46760482,60589598,007280,20240115
651,2490,107911154370,0,0,43337813,012600,20240115
650,2750,108916335000,107068,294381775,39605940,396690,20240115
649,45050,109255935750,1944,87879450,2425215,004890,20240115
648,6090,109635036210,324247,2022225020,18002469,004720,20240115
647,2990,109733000000,670735,2004489110,36700000,004100,20240115
646,5510,109814300000,30863,170377140,19930000,004840,20240115
645,1636,110186312892,317020,518987490,67351047,011300,20240115
644,25450,111337489300,1178,29994300,4374754,034590,20240115
643,1086,112476463968,1301830,1366291876,103569488,012170,20240115
642,50000,113011150000,928,46700700,2260223,001045,20240115
641,1326,113141334540,0,0,85325290,033180,20240115
640,3460,114410712800,91770,316237790,33066680,016740,20240115
639,9000,114556806000,4929,44358820,12728534,001750,20240115
638,10010,115519404000,24298,242479360,11540400,000230,20240115
637,3160,115575085040,1249708,3891929505,36574394,011690,20240115
636,3150,115693020450,53254,167077965,36727943,036580,20240115
635,2895,115800000000,42250,122856350,40000000,023000,20240115
634,33100,115850000000,536,17840000,3500000,023450,20240115
633,19690,116080544140,71107,1395640760,5895406,267290,20240115
632,13660,117066200000,7341,100567590,8570000,019440,20240115
631,7470,117129600000,203174,1526254960,15680000,004830,20240115
630,7780,118464395080,134752,1056717460,15226786,000520,20240115
629,17940,118651930800,266557,4796853210,6613820,009470,20240115
628,1309,119302913191,384134,500789090,91140499,012800,20240115
627,2105,119358583575,14083,30001445,56702415,003460,20240115
626,7030,119510000000,28107,197455050,17000000,032560,20240115
625,2870,120564615990,50651,144996440,42008577,004150,20240115
624,7680,121414632960,54892,424625770,15809197,023800,20240115
623,96900,121866381900,1193,115906700,1257651,120030,20240115
622,3050,122000000000,252198,771749190,40000000,002200,20240115
621,2625,122015638500,1157815,3066052880,46482148,006740,20240115
620,10850,123690000000,4928,54100250,11400000,024090,20240115
619,636,124748158944,263150,167139016,196144904,214330,20240115
618,13970,124764770790,28667,402251890,8930907,013580,20240115
617,3925,125600000000,39169,153113895,32000000,004310,20240115
616,5510,126040495130,34146,189020980,22874863,005960,20240115
615,73100,127170023200,942,68735100,1739672,003650,20240115
614,17970,127446834000,2970,53688620,7092200,00279K,20240115
613,3105,127513227510,42668,132011065,41067062,010040,20240115
612,23250,127548616500,7682,177180200,5485962,063160,20240115
611,26850,127930852500,13573,364827850,4764650,055490,20240115
610,12900,129000000000,7197,92762990,10000000,003547,20240115
609,20000,130000000000,12665,253097330,6500000,000860,20240115
608,1882,131272511200,36358,68599655,69751600,000180,20240115
